,Name,Partisan,State,Date,Trump,Clinton,Other,Undecided
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-07-27,37.0,46.0,1.0,9.0
0,2016 Pennsylvania President: Trump vs. Clinton,Nonpartisan,PA,2016-06-28,47.0,48.0,5.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-08-10,27.0,57.0,6.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-08-10,25.0,50.0,6.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-08-08,36.0,53.0,10.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-08-08,34.0,48.0,8.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-07-17,35.0,47.0,9.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-07-17,33.0,45.0,8.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-06-28,31.0,54.0,16.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-05-26,31.0,52.0,17.0,0.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-04-27,30.0,56.0,0.0,15.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-04-17,36.0,55.0,0.0,9.0
0,2016 New York President: Trump vs. Clinton,Pollster,NY,2016-04-10,35.0,55.0,0.0,10.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-04-10,35.0,51.0,6.0,8.0
0,2016 New York President: Trump vs. Clinton,Nonpartisan,NY,2016-04-10,32.0,61.0,0.0,7.0
0,2016 New Hampshire President: Trump vs. Clinton,Sponsor,NH,2016-08-28,40.0,46.0,14.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-08-12,36.0,45.0,0.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Sponsor,NH,2016-08-08,31.0,41.0,3.0,10.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-08-01,32.0,47.0,7.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-07-18,37.0,39.0,6.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-07-18,37.0,37.0,6.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-07-21,48.0,39.0,14.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-04-17,31.0,50.0,4.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Sponsor,NH,2016-06-20,43.0,44.0,9.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Sponsor,NH,2016-06-20,41.0,41.0,4.0,0.0
0,2016 New Hampshire President: Trump vs. Clinton,Nonpartisan,NH,2016-06-28,42.0,47.0,4.0,7.0
0,2016 New Hampshire President: Trump vs. Clinton,Sponsor,NH,2016-06-23,39.0,43.0,0.0,18.0
